,trial,opinion,activated,algorithm,seed_size,algorithm time
0,0,499.98283127423093,13,opinion_degree_solution,1,0.18979597091674805
1,0,582.5737761646503,151,opinion_degree_solution,50,0.24222397804260254
2,0,624.3524092259286,143,opinion_degree_solution,100,0.2803370952606201
3,1,507.8226392664674,1,opinion_degree_solution,1,0.3928508758544922
4,1,579.5785905678956,133,opinion_degree_solution,50,0.343189001083374
5,1,634.3104291135655,160,opinion_degree_solution,100,0.28775691986083984
6,2,509.70504231704786,3,opinion_degree_solution,1,0.24309206008911133
7,2,618.8722319056386,200,opinion_degree_solution,50,0.32787585258483887
8,2,654.6229448619304,141,opinion_degree_solution,100,0.27535080909729004
9,3,506.8406675526394,16,opinion_degree_solution,1,0.21552395820617676
10,3,590.9326931454661,146,opinion_degree_solution,50,0.24482297897338867
11,3,616.695152638448,125,opinion_degree_solution,100,0.23504090309143066
12,4,518.3599805403861,6,opinion_degree_solution,1,0.22025132179260254
13,4,604.4195601444536,167,opinion_degree_solution,50,0.2170717716217041
14,4,650.7409512813047,170,opinion_degree_solution,100,0.24305295944213867
15,5,484.8305896696727,7,opinion_degree_solution,1,0.21753811836242676
16,5,564.4602216120043,146,opinion_degree_solution,50,0.2368621826171875
17,5,603.805575946634,146,opinion_degree_solution,100,0.24515199661254883
18,6,504.68731954570063,4,opinion_degree_solution,1,0.20879626274108887
19,6,575.8312104732869,145,opinion_degree_solution,50,0.24161887168884277
20,6,627.3743202706108,161,opinion_degree_solution,100,0.23990416526794434
21,7,511.90095549363605,5,opinion_degree_solution,1,0.19088482856750488
22,7,594.5425533942902,147,opinion_degree_solution,50,0.2230517864227295
23,7,633.2263815889039,140,opinion_degree_solution,100,0.2682321071624756
24,8,503.97726163672615,9,opinion_degree_solution,1,0.20725703239440918
25,8,578.8112714509998,144,opinion_degree_solution,50,0.24755620956420898
26,8,626.4094563787061,152,opinion_degree_solution,100,0.24427294731140137
27,9,501.4383787745609,27,opinion_degree_solution,1,0.19687891006469727
28,9,592.4318518892568,171,opinion_degree_solution,50,0.254713773727417
29,9,625.8790806029405,152,opinion_degree_solution,100,0.2635478973388672
